Price,x5StarReviews,x4StarReviews,x3StarReviews,x2StarReviews,x1StarReviews,PositiveServiceReview,NegativeServiceReview,Volume
949,3,3,2,0,0,2,0,12
2249.99,2,1,0,0,0,1,0,8
399,3,0,0,0,0,1,0,12
409.99,49,19,8,3,9,7,8,196
1079.99,58,31,11,7,36,7,20,232
114.22,83,30,10,9,40,12,5,332
379.99,11,3,0,0,1,3,0,44
65.29,33,19,12,5,9,5,3,132
119.99,16,9,2,0,2,2,1,64
16.99,10,1,1,0,0,2,0,40
6.55,21,2,2,4,15,2,1,84
15,75,25,6,3,3,9,2,300
52.5,10,8,5,0,1,2,0,40
21.08,313,62,13,8,16,44,3,1252
18.98,349,118,27,7,5,57,3,1396
3.6,8,6,3,2,1,0,0,32
3.6,11,5,2,2,1,0,0,44
174.99,170,100,23,20,20,310,6,680
9.99,15,12,4,0,4,3,1,60
670,20,2,4,2,4,4,3,80
133.08,34,15,2,2,10,5,4,136
124.99,394,187,63,42,86,55,38,1576
56.99,513,217,162,370,1654,144,112,2052
48.5,29,18,3,1,8,4,2,116
31.99,77,31,7,3,2,7,0,308
179.99,306,114,25,22,28,42,12,1224
396.35,8,0,1,0,2,1,1,32
262.98,22,8,3,1,3,5,1,88
83.11,0,0,0,1,3,1,1,0
26.78,6,2,0,0,1,1,0,24
43.22,5,0,0,0,0,1,0,20
79.98,0,1,1,1,1,0,3,0
87.98,5,0,2,0,1,0,1,20
124.98,308,27,8,3,15,280,8,1232
129.98,308,27,8,3,15,280,8,1232
134.98,308,27,8,3,15,280,8,1232
151.98,308,27,8,3,15,280,8,1232
169.98,308,27,8,3,15,280,8,1232
179.98,308,27,8,3,15,280,8,1232
189.5,308,27,8,3,15,280,8,1232
349.99,308,27,8,3,15,280,8,1232
609.99,21,7,3,0,12,5,3,84
770.6,22,14,4,5,6,6,2,88
3.84,92,29,8,4,10,12,3,368
6.99,384,31,13,5,20,50,1,1536
59.99,366,59,23,26,24,60,5,1464
38.66,209,83,35,38,36,15,4,836
10.75,535,261,134,104,177,120,15,2140
126.95,13,2,2,2,5,5,1,52
49.99,2801,431,157,154,270,536,22,11204
103.85,3,0,0,0,0,1,0,12
52.72,51,33,8,7,4,6,1,204
19.99,474,38,7,6,12,80,2,1896
16.24,108,54,12,2,6,7,3,432
69,226,37,3,7,8,13,1,904
359.99,90,27,10,4,4,7,3,360
1276.57,164,33,6,13,6,12,4,656
783.98,26,13,7,5,16,4,5,104
149.99,21,10,3,1,4,4,2,84
129.99,74,25,7,6,9,4,2,296
128.49,58,33,10,3,6,5,2,232
141.95,4,0,0,0,3,0,1,16
149.99,8,3,3,2,0,0,0,32
165.99,2,0,1,1,2,1,1,8
169.26,20,13,8,6,21,4,7,80
132.36,0,1,0,0,0,0,0,0
149.99,206,89,20,22,65,42,50,824
395,8,0,1,0,2,3,0,32
385.96,99,43,17,11,20,8,13,396
379.99,1,0,1,1,0,0,1,4
499,148,66,30,20,29,12,6,592
199,4,1,0,2,2,1,1,16
129,1759,296,109,56,44,56,13,7036
499,86,51,17,12,9,14,2,344
419,3,1,0,0,0,0,0,12
200,62,25,10,11,12,9,3,248
99,18,17,6,2,12,5,4,72
349.99,22,10,6,2,10,3,3,88
499,368,28,14,10,23,22,3,1472
299.99,421,87,20,14,39,29,14,1684
